epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4557,0.90934,5.18269,0.01217,0.00466,0.90521,0.17845,0.11255,0.7586,4.82593,0.01535,0.000541044,0.000541044,0.000541044
2,20.3831,1.04078,4.50364,0.01461,0.66584,0.13625,0.30092,0.16816,1.07537,4.32203,0.02309,0.00108947,0.00108947,0.00108947
3,25.3032,1.1484,3.96084,0.01592,0.44777,0.31195,0.32923,0.1907,1.13829,3.65962,0.02516,0.00163057,0.00163057,0.00163057
4,30.061,1.15483,3.56754,0.01629,0.47951,0.48302,0.43866,0.25133,1.19036,3.25583,0.02704,0.00163399,0.00163399,0.00163399
5,34.8455,1.16431,3.20006,0.0162,0.40992,0.46167,0.39488,0.2082,1.34084,2.89439,0.03139,0.00162299,0.00162299,0.00162299
6,39.601,1.26641,2.97601,0.01784,0.3992,0.48744,0.40158,0.20087,1.41825,2.58792,0.03307,0.00161199,0.00161199,0.00161199
7,44.5743,1.23413,2.67785,0.01744,0.43006,0.47916,0.37884,0.1916,1.32965,2.38794,0.02984,0.00160099,0.00160099,0.00160099
8,49.9309,1.2219,2.44418,0.01741,0.43632,0.42531,0.37787,0.21549,1.33826,2.11108,0.03175,0.00158998,0.00158998,0.00158998
9,54.9008,1.21681,2.33594,0.01717,0.61538,0.41352,0.48224,0.26191,1.33202,2.00598,0.03188,0.00157898,0.00157898,0.00157898
10,59.7172,1.26199,2.16881,0.0178,0.50381,0.51923,0.45446,0.27533,1.24261,2.07246,0.02798,0.00156798,0.00156798,0.00156798
11,64.5704,1.20983,2.0905,0.01654,0.53028,0.50543,0.48701,0.25261,1.36774,2.09772,0.03116,0.00155698,0.00155698,0.00155698
12,69.4504,1.20621,1.95829,0.01795,0.57597,0.51111,0.52407,0.28732,1.36206,1.81844,0.03126,0.00154598,0.00154598,0.00154598
13,74.2794,1.18995,1.93371,0.01744,0.50502,0.48108,0.47311,0.29432,1.27188,2.01953,0.02893,0.00153497,0.00153497,0.00153497
14,79.084,1.19391,1.84779,0.01688,0.55873,0.49965,0.49543,0.27092,1.3243,2.02849,0.0317,0.00152397,0.00152397,0.00152397
15,83.9267,1.19021,1.81696,0.01721,0.57112,0.59513,0.53204,0.29571,1.30665,1.85308,0.03101,0.00151297,0.00151297,0.00151297
16,88.9082,1.19481,1.82171,0.01706,0.55039,0.56771,0.56427,0.35344,1.27102,1.65165,0.02938,0.00150197,0.00150197,0.00150197
