epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.0368,0.91873,4.09658,0.01223,0.76531,0.63525,0.7349,0.55882,0.81147,1.74186,0.01607,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,132.75,1.044,2.04822,0.01437,0.63131,0.58065,0.62389,0.42486,1.11177,1.4332,0.02599,0.0198363,0.00661209,0.0198363,0.00661209,0.0198363,0.00661209,0.0198363,0.00661209
3,180.202,1.1988,1.82334,0.01726,0.58383,0.50895,0.52254,0.30476,1.36613,1.79195,0.03055,0.0295725,0.00985749,0.0295725,0.00985749,0.0295725,0.00985749,0.0295725,0.00985749
4,225.135,1.32778,1.92831,0.01995,0.46731,0.49741,0.46981,0.24987,1.54003,1.9365,0.03666,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,270.293,1.3621,1.87678,0.02033,0.60916,0.55838,0.59133,0.35672,1.36379,1.59476,0.03157,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,315.618,1.33794,1.80023,0.01986,0.6259,0.58784,0.61183,0.36947,1.33648,1.62503,0.03159,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,360.581,1.30096,1.74158,0.01922,0.59559,0.54301,0.58983,0.3533,1.33209,1.64383,0.03138,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,405.325,1.30398,1.69836,0.01886,0.70874,0.57852,0.67266,0.40746,1.28171,1.44507,0.03029,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,450.243,1.28003,1.64562,0.01877,0.63879,0.63371,0.65592,0.40926,1.217,1.42481,0.02706,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,495.45,1.26585,1.62182,0.01828,0.71664,0.55992,0.6347,0.39619,1.17152,1.51446,0.02705,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,540.108,1.2605,1.58271,0.01827,0.68537,0.62984,0.67063,0.44797,1.16679,1.33228,0.02648,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
